States/UTs,Total Electric Vehicle,Total Non-Electric Vehicle,Total,No. of Operational Public Charging Station (PCS),Number of EV Chargers,Number of Charging Points/Vehicle Connectors
Andaman & Nicobar Islands,162,"1,46,945","1,47,107",3,5,5
Andhra Pradesh,29565,"1,47,27,558","1,47,57,123",307,348,355
Arunachal Pradesh,20,"2,52,965","2,52,985",9,16,16
Assam,64766,"46,77,053","47,41,819",52,91,91
Bihar,83335,"1,04,07,078","1,04,90,413",106,183,183
Chandigarh,2812,"7,46,881","7,49,693",9,11,17
Chhattisgarh,20966,"68,36,200","68,57,166",110,152,156
Delhi,"1,56,393","76,85,600","78,41,993",1627,2917,3247
Goa,3870,"10,71,570","10,75,440",55,75,90
Gujarat,45272,"2,06,05,484","2,06,50,756",303,490,601
Haryana,37035,"1,07,78,270","1,08,15,305",279,570,625
Himachal Pradesh,1175,"19,64,754","19,65,929",37,53,53
Jammu & Kashmir,2941,"18,69,962","18,72,903",32,62,63
Jharkhand,16811,"64,86,937","65,03,748",114,167,192
Karnataka,"1,20,532","2,68,70,303","2,69,90,835",753,1419,1680
Kerala,30775,"1,57,74,078","1,58,04,853",187,382,448
Madhya Pradesh,4528,"74,86,545","74,91,073",267,428,438
Maharashtra,"1,16,646","3,10,58,990","3,11,75,636",2494,3793,4211
Manipur,586,"4,99,324","4,99,910",17,32,32
Meghalaya,49,"4,59,001","4,59,050",19,80,87
Nagaland,58,"3,39,129","3,39,187",7,10,10
Odisha,23371,"98,45,073","98,68,444",153,278,287
Puducherry,2149,"12,13,735","12,15,884",4,12,16
Punjab,14804,"1,24,63,019","1,24,77,823",121,234,247
Rajasthan,81338,"1,73,27,388","1,74,08,726",373,615,629
Sikkim,21,97189,97210,2,4,4
Tamil Nadu,82051,"2,98,42,376","2,99,24,427",459,1152,1320
Telangana,"11,456","1,45,76,809","1,45,88,265",412,550,675
Tripura,9262,"6,50,026","6,59,288",18,33,33
Uttar Pradesh,"3,37,180","4,00,92,490","4,04,29,670",469,778,852
Uttarakhand,31008,"33,12,041","33,43,049",50,97,108
West Bengal,48767,"1,41,34,171","1,41,82,938",264,458,478
